"","acousticness","danceability","duration","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"a rush of blood to the head",0.175985,0.526884,349.97288,0.496175,5e-06,5,0.211875,-7.201,1,0.024307,138.443,4,0.129204
"used to",0.070276,0.925817,268.48,0.426676,0.00033,10,0.081794,-7.584,0,0.106752,96.023,4,0.312572
"night prowler",0.023676,0.250072,387.96,0.729737,0.013407,6,0.181237,-5.002,1,0.062434,197.194,3,0.467587
"touch too much",0.037274,0.524671,266.26667,0.906511,3.6e-05,7,0.309284,-4.301,1,0.096273,123.102,4,0.59679
"chicken fried",0.009024,0.422616,191.81669,0.960202,0.000933,6,0.788532,-5.44,1,0.111858,86.941,4,0.633768
"paradise",0.849851,0.383248,17.87891,0.099453,0.948798,2,0.311779,-17.284,0,0.040946,139.551,3,0.490298
"fragments of time",0.046974,0.808,279.77288,0.502212,0.122868,0,0.090705,-9.786,1,0.043113,130.127,4,0.960165
"a hopeful transmission",0.104206,0.443062,32.99955,0.253622,0.792451,11,0.799923,-20.358,1,0.034942,116.941,4,0.635192
"toes",0.754143,0.791686,261.34667,0.722872,0.0,11,0.092914,-5.869,1,0.03823,129.999,4,0.804808
"m.m.i.x",0.946972,0.258074,48.46608,0.062582,0.862068,2,0.09736,-29.446,1,0.051022,126.354,3,0.163593
"no tellin'",0.535401,0.82715,310.93333,0.476842,1e-06,7,0.136275,-10.408,0,0.274552,95.03,4,0.563376
"6 man",0.232414,0.7729,167.65333,0.539711,0.0,8,0.113728,-9.268,1,0.401083,158.109,4,0.320095
"get it hot",0.000514,0.647867,154.50667,0.831697,0.56437,3,0.09512,-4.635,1,0.032937,129.854,4,0.836301
